CDN                	  Total Domains	  ECS Scope>0(support ECS)	   (%)	use ECS
Akamai             	           1944	                       182	  9.36	Yes
Google             	           2169	                      1276	 58.83	Yes
Fastly             	            729	                        89	 12.21	Yes
Cloudflare         	           4847	                      4555	 93.98	Yes
Twitter            	             14	                         8	 57.14	No
Facebook           	             44	                        37	 84.09	Yes
Cloudfront         	           1021	                       914	 89.52	Yes
Level3             	             39	                        34	 87.18	Yes
StackPath          	            128	                        23	 17.97	Yes
Highwinds          	             71	                        17	 23.94	Yes
jsDelivr           	              3	                         1	 33.33	No
Edgio              	            128	                        96	 75   	No
Yahoo              	             86	                         0	  0   	No
CDN77              	            193	                       179	 92.75	Yes
KeyCDN             	             17	                        17	100   	Yes
Incapsula          	             98	                        47	 47.96	No
MicrosoftAzure     	             76	                        62	 81.58	No
Taobao             	             96	                        93	 96.88	No
Tencent            	            199	                       185	 92.96	Yes
BunnyCDN           	             92	                        91	 98.91	Yes
Netlify            	              6	                         2	 33.33	No
Rackspace          	             20	                         0	  0   	No
LambdaCDN          	              6	                         4	 66.67	No
Limelight          	              8	                         6	 75   	No
SFR                	              1	                         0	  0   	No
section.io         	              4	                         0	  0   	No
ChinaNetCenter     	              7	                         7	100   	No
CDNetworks         	             76	                        75	 98.68	Yes
Reapleaf           	              2	                         1	 50   	No
Yottaa             	             11	                         0	  0   	No
Medianova          	             87	                        83	 95.4 	Yes
cubeCDN            	             10	                        10	100   	No
NGENIX             	             36	                        31	 86.11	Yes
Cachefly           	              2	                         2	100   	No
Myra               	              9	                         3	 33.33	Yes
Internap           	              2	                         1	 50   	Yes
Tata communications	              9	                         1	 11.11	No
Azion              	             81	                        67	 82.72	Yes
GoCache            	             21	                         2	  9.52	No
Telefonica         	              5	                         1	 20   	No
OnApp              	              2	                         0	  0   	No
BitGravity         	              2	                         0	  0   	No
WordPress          	              1	                         0	  0   	No
KINXCDN            	              1	                         0	  0   	No
ChinaCache         	              1	                         1	100   	No
Alimama            	              1	                         1	100   	No