CDN           	Country  	  ('local', 'diff_metro')	  ('local', 'same_R')	  ('local', 'neigh_subR')	  ('local', 'neigh_R')	  ('local', 'non-neigh_R')	  ('diff_metro', 'same_R')	  ('diff_metro', 'neigh_subR')	  ('diff_metro', 'neigh_R')	  ('diff_metro', 'non-neigh_R')	  ('same_R', 'neigh_subR')	  ('same_R', 'neigh_R')	  ('same_R', 'non-neigh_R')	  ('neigh_subR', 'neigh_R')	  ('neigh_subR', 'non-neigh_R')	  ('neigh_R', 'non-neigh_R')
Google        	FR       	               0.698925  	           0.231481  	                0.232323 	            0.485507  	                0.302521  	                0.537037  	                    0.505051  	                 0.724638  	                     0.596639  	                0.222222  	             0.478261  	                 0.285714  	                 0.456522  	                     0.268908  	                  0.434783
Google        	ES       	               0.0772738 	           0.834951  	                0.825183 	            0.883929  	                0.804124  	                0.786408  	                    0.776939  	                 0.848214  	                     0.752577  	                0.650485  	             0.723214  	                 0.57732   	                 0.723214  	                     0.608247  	                  0.580357
Google        	TR       	               0.501984  	           0.502315  	                0.851429 	            0.738255  	                0.620963  	                0.104828  	                    0.697143  	                 0.563758  	                     0.418605  	                0.697143  	             0.563758  	                 0.418605  	                 0.489933  	                     0.325581  	                  0.42953
Google        	RU       	               0.0508475 	           0.647059  	                0.780822 	            0.990385  	                0.857143  	                0.647059  	                    0.780822  	                 0.990385  	                     0.857143  	                0.630137  	             0.875     	                 0.702381  	                 0.817308  	                     0.666667  	                  0.778846
Google        	DE       	               0.0726961 	           0.468085  	                0.366119 	            0.655172  	                0.56      	                0.461988  	                    0.355605  	                 0.649425  	                     0.553902  	                0.156028  	             0.367816  	                 0.206667  	                 0.41954   	                     0.273333  	                  0.287356
Google        	CN       	               0.355556  	           0.755556  	                0.722222 	            0.755556  	                0.688889  	                0.681306  	                    0.518919  	                 0.540541  	                     0.432432  	                0.308333  	             0.221667  	                 0.447917  	                 0.133333  	                     0.139583  	                  0.24875
Google        	IN       	               0.768182  	           0.527017  	                0.8375   	            0.756098  	                0.707621  	                0.345181  	                    0.6625    	                 0.573171  	                     0.445545  	                0.505422  	             0.428592  	                 0.415842  	                 0.573171  	                     0.445545  	                  0.415842
Google        	ID       	               0.496323  	           0.425345  	                0.525641 	            0.592     	                0.427273  	                0.0871423 	                    0.602564  	                 0.64      	                     0.481818  	                0.602564  	             0.64      	                 0.481818  	                 0.584     	                     0.418182  	                  0.288
Google        	AE       	               0.0406586 	           0.416667  	                0.848558 	            0.759654  	                0.640777  	                0.419355  	                    0.871795  	                 0.788618  	                     0.660194  	                0.871795  	             0.869919  	                 0.757282  	                 0.705128  	                     0.388972  	                  0.504854
Google        	DZ       	               0.313725  	           0.261438  	                0.227195 	            0.722108  	                0.598856  	                0.0626642 	                    0.457229  	                 0.867133  	                     0.758333  	                0.432776  	             0.853147  	                 0.741667  	                 0.688431  	                     0.555797  	                  0.531469
Google        	ZA       	               0.111801  	           0.246032  	                0.506667 	            0.66      	                0.551724  	                0.181159  	                    0.551884  	                 0.69      	                     0.586207  	                0.66      	             0.733333  	                 0.649425  	                 0.62      	                     0.505747  	                  0.56
Google        	EG       	               0.29447   	           0.274436  	                0.263312 	            0.211905  	                0.199179  	                0.0631579 	                    0.0735582 	                 0.112519  	                     0.122358  	                0.062799  	             0.100501  	                 0.110587  	                 0.0519481 	                     0.0641327 	                  0.0361248
Google        	NG       	               0.198323  	           0.329114  	                0.253846 	            0.545455  	                0.473684  	                0.196203  	                    0.230769  	                 0.539394  	                     0.460526  	                0.138559  	             0.490909  	                 0.388158  	                 0.49697   	                     0.394737  	                  0.406061
Google        	AU       	               0.0421928 	           0.0836534 	               -1        	            0.563291  	                0.456522  	                0.0494042 	                   -1         	                 0.575949  	                     0.471014  	               -1         	             0.588608  	                 0.485507  	                -1         	                    -1         	                  0.246377
Cloudflare    	US       	               0.0837409 	           0.0805198 	                0.0587719	            0.0738232 	                0.063317  	                0.0130622 	                    0.0251218 	                 0.0265887 	                     0.0207297 	                0.0238734 	             0.0164179 	                 0.0201474 	                 0.0203621 	                     0.00677201	                  0.0181048
Cloudflare    	BR       	               0.0201784 	           0.00849858	                0.0395989	            0.0300644 	                0.00733596	                0.0285682 	                    0.0254835 	                 0.0197258 	                     0.0238281 	                0.0479585 	             0.0385025 	                 0.00548845	                 0.0219512 	                     0.0445347 	                  0.0339411
Cloudflare    	AR       	               0.0119231 	           0.00932432	                0.112593 	            0.0222316 	                0.0163603 	                0.0114402 	                    0.112659  	                 0.0305538 	                     0.011215  	                0.107795  	             0.022074  	                 0.0154904 	                 0.115898  	                     0.101867  	                  0.0338983
Cloudflare    	GB       	               0.0119036 	           0.0498741 	                0.0284042	            0.0180723 	                0.0103816 	                0.0529665 	                    0.0317627 	                 0.0182008 	                     0.016     	                0.0299883 	             0.041842  	                 0.0436143 	                 0.0208631 	                     0.0203066 	                  0.00803213
Cloudflare    	FR       	               0.013653  	           0.0200898 	                0.0163728	            0.0157175 	                0.0147728 	                0.00758891	                    0.00544187	                 0.00974942	                     0.00800687	                0.00876511	             0.0114986 	                 0.0142925 	                 0.0101159 	                     0.0108522 	                  0.00855791
Cloudflare    	ES       	               0.00806149	           0.00787402	                0.0328714	            0.0214404 	                0.0160819 	                0.00787402	                    0.0329651 	                 0.0156599 	                     0.0128767 	                0.0299879 	             0.0235339 	                 0.0181754 	                 0.0447761 	                     0.0343396 	                  0.015234
Cloudflare    	TR       	               0.0648622 	           0.0869487 	                0.100671 	            0.0381292 	                0.0386628 	                0.0307801 	                    0.154605  	                 0.035636  	                     0.0333788 	                0.180357  	             0.05625   	                 0.0553571 	                 0.135417  	                     0.137628  	                  0.00439239
Cloudflare    	RU       	               0.161028  	           0.125658  	                0.122209 	            0.149296  	                0.139289  	                0.213124  	                    0.211691  	                 0.238778  	                     0.228771  	                0.0174538 	             0.0875414 	                 0.0965368 	                 0.0828066 	                     0.0892063 	                  0.0169014
Cloudflare    	DE       	               0.0139709 	           0.0181799 	                0.0181799	            0.0126461 	                0.00981584	                0.0129257 	                    0.0103032 	                 0.0101328 	                     0.00940157	                0.00356506	             0.0093365 	                 0.0120449 	                 0.00967917	                     0.0120449 	                  0.00359314
Cloudflare    	CN       	               0.17829   	           0.224252  	                0.185799 	            0.133929  	                0.190476  	                0.0944177 	                    0.0231115 	                 0.157127  	                     0.0185187 	                0.0780753 	             0.233541  	                 0.0765077 	                 0.175642  	                     0.0165607 	                  0.171416
Cloudflare    	IN       	               0.00534759	           0.0151408 	                0.0318658	            0.0597024 	                0.00996981	                0.0122307 	                    0.0283007 	                 0.0597024 	                     0.0117523 	                0.0327062 	             0.0631176 	                 0.0238985 	                 0.0775831 	                     0.0316802 	                  0.0598965
Cloudflare    	ID       	               0.0305227 	           0.0153412 	                0.122372 	            0.0908628 	                0.011908  	                0.0444295 	                    0.144985  	                 0.0678816 	                     0.0407579 	                0.110589  	             0.100829  	                 0.00773557	                 0.208839  	                     0.116737  	                  0.0945966
Cloudflare    	AE       	               0.0138408 	           0.237889  	                0.032872 	            0.0272004 	                0.00519031	                0.25      	                    0.0190972 	                 0.0189406 	                     0.0138889 	                0.25      	             0.25      	                 0.243056  	                 0.0193498 	                     0.0298932 	                  0.027099
Cloudflare    	DZ       	               0.0687728 	           0.0585382 	                0.0540646	            0.0593523 	                0.0507715 	                0.121495  	                    0.121751  	                 0.126547  	                     0.118182  	                0.0140754 	             0.011086  	                 0.0124712 	                 0.015669  	                     0.0184333 	                  0.0113102
Cloudflare    	ZA       	               0.0157642 	           0.121383  	                0.0498645	            0.0165485 	                0.0220964 	                0.111063  	                    0.0396409 	                 0.00665775	                     0.00867352	                0.0853379 	             0.10625   	                 0.107123  	                 0.0333161 	                     0.0329005 	                  0.00806366
Cloudflare    	EG       	               0.0313057 	           0.0232232 	                0.0426046	            0.0272974 	                0.0230248 	                0.0172642 	                    0.0173602 	                 0.0215594 	                     0.0166605 	                0.0260144 	             0.00976431	                 0.00678416	                 0.0237392 	                     0.0270448 	                  0.00944572
Cloudflare    	NG       	               0.052585  	           0.00951935	                0.0485965	            0.0485804 	                0.0498575 	                0.0447863 	                    0.0173238 	                 0.0299916 	                     0.0233476 	                0.0394693 	             0.0394532 	                 0.0407303 	                 0.01415   	                     0.00722458	                  0.00823683
Cloudflare    	AU       	               0.0104058 	           0.0123362 	               -1        	            0.00813008	                0.0159931 	                0.0158381 	                   -1         	                 0.0124507 	                     0.0187262 	               -1         	             0.00845363	                 0.00848594	                -1         	                    -1         	                  0.00827616
Yahoo         	US       	               0.230769  	           0.615385  	                0.538462 	            0.9       	                1         	                0.538462  	                    0.466667  	                 0.9       	                     1         	                0.266667  	             0.8       	                 1         	                 0.6       	                     0.875     	                  0.875
Yahoo         	AR       	               0.75      	           0.464286  	                1        	            0.75      	                1         	                0.285714  	                    0.333333  	                 0.333333  	                     0.6       	                0.571429  	             0.380952  	                 0.714286  	                 0.333333  	                     0.6       	                  0.4
Yahoo         	FR       	               0.25      	           0.25      	                0.75     	            1         	                1         	                0         	                    0.5       	                 1         	                     1         	                0.5       	             1         	                 1         	                 1         	                     1         	                  0.666667
Yahoo         	DE       	               0.142857  	           0.25      	                0.375    	            0.857143  	                0.714286  	                0.25      	                    0.375     	                 1         	                     0.833333  	                0.125     	             1         	                 0.875     	                 1         	                     1         	                  0.5
Yahoo         	ID       	               0.333333  	           0.5       	                0.5      	            1         	                1         	                0.5       	                    0.5       	                 1         	                     1         	                0.5       	             1         	                 1         	                 0.666667  	                     1         	                  0.666667
Yahoo         	DZ       	               0.833333  	           0.833333  	                0.666667 	            0.5       	                0.5       	                0.266667  	                    0.666667  	                 1         	                     1         	                0.666667  	             1         	                 1         	                 1         	                     1         	                  0.5
CDN77         	US       	               1         	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
CDN77         	BR       	               0.3125    	           0.1875    	                1        	            1         	                1         	                0.224265  	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
CDN77         	AR       	               0.366154  	           0.257835  	                0.961538 	            1         	                1         	                0.176296  	                    0.88      	                 1         	                     1         	                0.837963  	             1         	                 1         	                 1         	                     1         	                  1
CDN77         	GB       	               0.375     	           0.5       	                1        	            1         	                1         	                0.5       	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  0.923077
CDN77         	FR       	               0.3       	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 0.965517  	                     1         	                  0.565517
CDN77         	ES       	               0.0909091 	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.75      	             1         	                 1         	                 1         	                     1         	                  0.461538
CDN77         	TR       	               0.333333  	           0.493506  	                0.7      	            0.76      	                0.75      	                0.636364  	                    0.75      	                 0.84      	                     0.75      	                0.5       	             0.64      	                 0.5       	                 0.33      	                     0.15      	                  0.28
CDN77         	RU       	               0.25      	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.875     	             1         	                 1         	                 1         	                     1         	                  0.869565
CDN77         	DE       	               0.25      	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.961538  	             1         	                 1         	                 0.695652  	                     1         	                  0.456522
CDN77         	CN       	               1         	           1         	                1        	            1         	                1         	                1         	                    0.7       	                 0.7       	                     1         	                1         	             1         	                 1         	                 0.746032  	                     1         	                  1
CDN77         	IN       	               0.396522  	           0.347826  	                0.9375   	            1         	                1         	                0.246154  	                    0.8975    	                 1         	                     1         	                0.875     	             1         	                 1         	                 0.875     	                     1         	                  1
CDN77         	ID       	               0.111111  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                0.75      	             1         	                 1         	                 0.846154  	                     0.9375    	                  1
CDN77         	AE       	               1         	           1         	                1        	            1         	                1         	                1         	                    0.909091  	                 0.393939  	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
CDN77         	DZ       	               0.533333  	           0.846154  	                0.534188 	            1         	                1         	                1         	                    0.923077  	                 1         	                     1         	                0.846154  	             1         	                 1         	                 1         	                     1         	                  0.85
CDN77         	EG       	               0.7       	           0.318182  	                0.416667 	            0.192308  	                0.333333  	                0.427273  	                    0.283333  	                 0.7       	                     0.45      	                0.181818  	             0.272727  	                 0.166667  	                 0.416667  	                     0.166667  	                  0.25
CDN77         	NG       	               0.832168  	           0.909091  	                0.454545 	            1         	                1         	                0.179487  	                    0.941176  	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  0.8
Azion         	BR       	               0.9375    	           1         	                1        	            1         	                1         	                0.525     	                    0.783654  	                 1         	                     1         	                0.392308  	             1         	                 1         	                 1         	                     1         	                  1
Facebook      	AR       	               0         	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Facebook      	ID       	               0.5       	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Facebook      	DZ       	               0.178571  	           0.75      	                1        	            1         	                1         	                0.607143  	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 0.5       	                     0.714286  	                  0.714286
Facebook      	EG       	               1         	           1         	                1        	            1         	                0.833333  	                0.333333  	                    0.166667  	                 0.166667  	                     0.333333  	                0.166667  	             0.166667  	                 0.166667  	                 0.166667  	                     0.166667  	                  0.166667
Facebook      	NG       	               0.166667  	           1         	                0.8      	            1         	                1         	                1         	                    0.833333  	                 1         	                     1         	                1         	             0.666667  	                 0.666667  	                 1         	                     1         	                  0.666667
BunnyCDN      	AR       	               0.5       	           0.5       	                1        	            1         	                1         	                0.5       	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
StackPath     	AR       	               0.2       	           0.4       	                0.333333 	            0.5       	                0.571429  	                0.4       	                    0.466667  	                 0.5       	                     0.571429  	                0.666667  	             0.5       	                 0.571429  	                 0.333333  	                     0.666667  	                  0.333333
StackPath     	FR       	               0.4       	           0.25      	                0.4      	            0.5       	                0.25      	                0.2       	                    0         	                 0.166667  	                     0.2       	                0.2       	             0.333333  	                 0         	                 0.166667  	                     0.2       	                  0.333333
StackPath     	ES       	               0.380952  	           0.571429  	                0.321429 	            0.404762  	                0.371429  	                0.666667  	                    0.416667  	                 0.5       	                     0.466667  	                0.4       	             0.166667  	                 0.2       	                 0.333333  	                     0.2       	                  0.166667
StackPath     	AE       	               0.5       	           0.5625    	                0.25     	            0.125     	                0.25      	                0.5       	                    0.5       	                 0.625     	                     0.75      	                0.444444  	             0.5625    	                 0.583333  	                 0.25      	                     0.5       	                  0.25
StackPath     	EG       	               0.4       	           0.2       	                0.2      	            0.333333  	                0.333333  	                0.2       	                    0.2       	                 0.166667  	                     0.166667  	                0         	             0.166667  	                 0.166667  	                 0.166667  	                     0.166667  	                  0
StackPath     	NG       	               0.25      	           0.285714  	                0.142857 	            0.285714  	                0         	                0.178571  	                    0.178571  	                 0.178571  	                     0.25      	                0.142857  	             0         	                 0.285714  	                 0.142857  	                     0.142857  	                  0.285714
Level3        	FR       	               0.416667  	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             0.944444  	                 1         	                 0.888889  	                     1         	                  0.888889
Level3        	EG       	               0.5       	           0.454545  	                0.5      	            0.5       	                0.692308  	                0.166667  	                    0.166667  	                 0.25      	                     0.25641   	                0.166667  	             0.25      	                 0.27972   	                 0.25      	                     0.25641   	                  0.25641
Medianova     	TR       	               0.666667  	           0.75      	                0.666667 	            0.75      	                1         	                0.75      	                    0.666667  	                 0.75      	                     1         	                0.416667  	             0.75      	                 1         	                 0.75      	                     1         	                  0.35
NGENIX        	RU       	               0.334559  	           0.445946  	                0.306667 	            0.38961   	                0.393939  	                0.22973   	                    0.133333  	                 0.194805  	                     0.242424  	                0.13964   	             0.0568621 	                 0.0655201 	                 0.0969697 	                     0.133939  	                  0.0800866
Tencent       	CN       	               0.993827  	           0.949383  	                1        	            0.993827  	                1         	                0.146322  	                    0.199187  	                 0.172466  	                     0.213177  	                0.130081  	             0.0882353 	                 0.118644  	                 0.0769967 	                     0.0384456 	                  0.0555002
Taobao        	CN       	               1         	           1         	                1        	            1         	                1         	                0.684211  	                    0.791667  	                 0.736842  	                     0.340017  	                1         	             0.757576  	                 0.636364  	                 1         	                     0.693452  	                  0.444444
Taobao        	ID       	               1         	           1         	                1        	            1         	                1         	                1         	                    1         	                 1         	                     1         	                1         	             1         	                 1         	                 1         	                     1         	                  1
Taobao        	EG       	               0.583333  	           0.692308  	                0.692308 	            0.607143  	                0.583333  	                0.153846  	                    0.108974  	                 0.154762  	                     0.0833333 	                0.153846  	             0.263736  	                 0.153846  	                 0.131868  	                     0.108974  	                  0.154762
Taobao        	NG       	               0.0576923 	           0.846154  	                0.769231 	            1         	                1         	                0.833333  	                    0.75      	                 1         	                     1         	                0.722222  	             1         	                 1         	                 1         	                     1         	                  0.533333
MicrosoftAzure	EG       	               0.416667  	           0.666667  	                0.333333 	            0.333333  	                0.380952  	                0.25      	                    0.333333  	                 0.333333  	                     0.25      	                0.5       	             0.5       	                 0.285714  	                 0         	                     0.261905  	                  0.261905
MicrosoftAzure	NG       	               0.5       	           0.666667  	                0.666667 	            0.333333  	                0.666667  	                0.75      	                    0.333333  	                 0.416667  	                     1         	                0.5       	             0.666667  	                 0.5       	                 0.666667  	                     0.666667  	                  1